Date,Symbol,Open,High,Low,Close,Volume
05-05-2020,ONGC,78.9,81.9,78.15,78.45,61865518
06-05-2020,ONGC,81.35,81.35,77.45,79.25,38948341
07-05-2020,ONGC,78.3,78.3,75.1,75.6,20806305
08-05-2020,ONGC,76.4,77.2,74.75,76,18523906
11-05-2020,ONGC,76,78.15,74.5,77.05,15701778
12-05-2020,ONGC,76.95,77.35,74.5,76.3,14186808
13-05-2020,ONGC,79,79.05,76.25,78.2,20494837
14-05-2020,ONGC,77,77.35,75.2,76.15,13346163
15-05-2020,ONGC,77.25,78.5,75.9,76.15,16836413
18-05-2020,ONGC,76.95,76.95,72.4,72.9,13015452
19-05-2020,ONGC,74.4,78.7,74.1,77.15,42316096
20-05-2020,ONGC,77.2,78.5,76.3,78,12969876
21-05-2020,ONGC,78.75,79,76.4,77,17999916
22-05-2020,ONGC,76.95,76.95,75.4,76.15,12443833
26-05-2020,ONGC,77,78.2,76.6,77,11840048
27-05-2020,ONGC,77.2,78.2,75.9,77.95,11656180
28-05-2020,ONGC,77.5,80.95,77.4,78.85,18646208
